Languages,Code Simplification,Commented Code,Complexity,Documentation,Duplication,Formatting,Grammar,Memory Leak,Missing import,Redundancy,Security,Simplification,Smell,Spelling,Syntax,Undefined Element,Unreachable Code,Unused Code,Variable Misuse
All,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
C,Can detect,Unsupported,Can detect,Unsupported,Can detect,Can fix,Unsupported,Can detect,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Can fix,Unsupported,Can detect,Can detect,Can fix
C#,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
C++,Can detect,Unsupported,Can detect,Unsupported,Can detect,Can fix,Unsupported,Can detect,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Can fix,Unsupported,Can detect,Can detect,Can fix
CMake,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
CSS,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported
CUDA,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Can fix
CoffeeScript,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Dart,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Dockerfile,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Fortran,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Git,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Go,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can fix,Unsupported,Unsupported,Can fix,Unsupported,Can fix,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Can detect,Can detect,Unsupported
HTML,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Haskell,Can fix,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported
JSON,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
JSP,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
JSX,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Java,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported
JavaScript,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Can detect,Unsupported
Julia,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Can detect,Unsupported
Lua,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Can detect
Markdown,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Matlab,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Natural Language,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Objective-C,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Can fix
Objective-C++,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Can fix
Octave,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
OpenCL,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Can fix
OpenMP,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Can fix
PHP,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
